stim_mu_1,stim_mu_2,var_state,mu_true_1,mu_true_2,var_true,w_r,w_V,alpha,bias,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,pred9,pred10,pred11,pred12,pred13,pred14,pred15,pred16,pred17,pred18,pred19,pred20,pred21,pred22,pred23,pred24,pred25,pred26,pred27,pred28,pred29,pred30,pred31,pred32,pred33,pred34,pred35,pred36,pred37,pred38,pred39,pred40,pred41,pred42,pred43,pred44,pred45,pred46,pred47,pred48,pred49,pred50,success,rmse,seed
0.150582602,5.285505394,3.513886749,-3.44800181,-9.445913993,0.650358543,0.027195628,0,0.075833183,0.66193668,0.663429965,0.664217276,0.665210987,0.666396028,0.667742297,0.669209567,0.670752977,0.672327984,0.673894111,0.675417289,0.676870919,0.678235918,0.679500096,0.680657158,0.681705551,0.682647329,0.683487129,0.684231298,0.684887195,0.685462642,0.685965532,0.686403546,0.686783963,0.68711355,0.687398505,0.687644433,0.687856356,0.688038738,0.688195524,0.688330178,0.68844573,0.688544822,0.688629748,0.688702497,0.688764787,0.688818103,0.688863724,0.688902748,0.688936124,0.688964662,0.688989059,0.689009915,0.689027739,0.689042972,0.68905599,0.689067112,0.689076616,0.689084735,0.689091672,0.689097597,TRUE,0.001402002,0
-3.488679967,8.982166255,4545.287899,-0.402276148,-1.841264537,0.092339053,3.550776854,2.88E-16,0.044902906,-2.86082406,0.659901676,0.662529635,0.664928597,0.66711838,0.669117109,0.670941359,0.67260628,0.674125723,0.675512345,0.676777711,0.677932385,0.67898602,0.67994743,0.680824667,0.68162508,0.682355384,0.683021706,0.68362964,0.684184296,0.684690334,0.685152011,0.685573209,0.685957475,0.686308042,0.686627863,0.686919633,0.687185809,0.687428635,0.687650158,0.687852245,0.688036602,0.688204782,0.688358205,0.688498164,0.688625842,0.688742315,0.688848565,0.688945491,0.689033911,0.68911457,0.689188149,0.68925527,0.6893165,0.689372356,0.689423308,0.689469788,0.689512189,0.689550867,0.68958615,0.689618336,TRUE,0.001740817,1
-0.952345457,-1.082155177,2.566356777,0.138600524,-9.916470058,0.41275277,1.872704891,6.377995452,0.014404389,-1.347619022,0.662468014,0.663986565,0.665488186,0.666968268,0.668422584,0.669847269,0.671238806,0.672594009,0.673909999,0.675184196,0.676414298,0.677598267,0.678734314,0.679820886,0.680856648,0.681840474,0.682771434,0.683648777,0.684471925,0.685240458,0.685954106,0.686612735,0.687216341,0.687765038,0.68825905,0.688698702,0.689084414,0.689416691,0.689696115,0.689923342,0.690099091,0.690224141,0.690299323,0.690325517,0.690303644,0.690234664,0.690119569,0.68995938,0.689755141,0.68950792,0.6892188,0.688888879,0.688519264,0.688111074,0.687665429,0.687183455,0.686666277,0.68611502,0.685530804,0.684914744,TRUE,0.000140073,2
-0.400067221,-0.218653439,7.24418856,30.15881225,-55.13765776,0.885942306,1.205414411,9.077433365,0.122530816,-0.516079116,0.663252813,0.66371945,0.664758954,0.666155305,0.667752858,0.669441001,0.671142576,0.672805152,0.67439445,0.675889402,0.677278452,0.678556784,0.679724274,0.680783962,0.681740946,0.682601565,0.683372819,0.684061956,0.684676188,0.6852225,0.685707525,0.686137472,0.686518088,0.686854647,0.687151954,0.687414362,0.687645794,0.687849775,0.68802946,0.688187666,0.688326901,0.688449393,0.688557122,0.68865184,0.688735098,0.688808266,0.688872554,0.688929032,0.688978641,0.68902221,0.689060471,0.689094067,0.689123565,0.689149462,0.689172197,0.689192154,0.689209672,0.689225048,0.689238544,0.68925039,TRUE,0.001475311,3
0.385724455,-0.071795087,0.125635234,-1.363039794,-32.93146266,0.169209851,0.757169274,0.708166913,0.019381303,-0.151749305,0.662696352,0.664100779,0.66551674,0.666935399,0.668348683,0.669749243,0.671130419,0.672486212,0.673811245,0.675100728,0.676350429,0.677556637,0.678716129,0.679826142,0.68088434,0.681888783,0.682837899,0.68373046,0.684565548,0.685342538,0.686061068,0.686721017,0.687322487,0.687865778,0.68835137,0.688779907,0.689152176,0.689469094,0.689731692,0.689941101,0.690098537,0.690205294,0.690262728,0.690272249,0.690235308,0.690153394,0.690028023,0.689860728,0.689653056,0.689406561,0.689122798,0.688803317,0.688449661,0.688063359,0.687645924,0.687198851,0.68672361,0.68622165,0.685694389,0.685143218,TRUE,0.000228498,4
-0.762059109,-0.014285595,0.60205291,-7.010054146,6.250855783,0.575102603,1.365979833,2.448184791,0.015068927,-0.826873789,0.66252197,0.664024655,0.665513129,0.666982491,0.66842824,0.669846251,0.671232763,0.672584362,0.673897957,0.675170775,0.676400333,0.677584432,0.678721136,0.679808759,0.680845851,0.681831184,0.682763738,0.683642688,0.684467392,0.685237379,0.685952337,0.686612104,0.687216654,0.687766089,0.68826063,0.688700606,0.689086446,0.689418673,0.689697892,0.689924784,0.690100102,0.690224659,0.690299325,0.690325022,0.690302715,0.69023341,0.690118146,0.689957992,0.689754043,0.689507415,0.689219243,0.688890673,0.688522864,0.688116981,0.687674195,0.687195677,0.6866826,0.686136131,0.685557436,0.684947671,TRUE,0.000147405,5
4.466724163,5.939526232,6.942461999,-2.025300431,-0.593332101,0.60470094,0.027197084,0,0.075830219,0.661935138,0.663429238,0.664216779,0.665210707,0.666395937,0.667742357,0.669209734,0.67075321,0.672328246,0.673894372,0.675417528,0.676871121,0.678236075,0.679500206,0.680657221,0.68170557,0.682647309,0.683487076,0.684231218,0.684887092,0.685462522,0.685965399,0.686403404,0.686783814,0.687113399,0.687398352,0.68764428,0.687856204,0.688038589,0.688195378,0.688330035,0.688445591,0.688544687,0.688629617,0.688702369,0.688764663,0.688817982,0.688863606,0.688902634,0.688936012,0.688964552,0.688988952,0.68900981,0.689027636,0.689042871,0.68905589,0.689067014,0.689076519,0.689084639,0.689091577,0.689097504,TRUE,0.001402002,6
0.163687978,0.034484409,0.018809948,4.906570406,15.22517011,0.545685424,0.50090352,0.093429088,0.022232431,0.128855743,0.662774771,0.664127312,0.665506125,0.666900008,0.668298717,0.669692935,0.671074233,0.67243503,0.67376856,0.675068822,0.676330541,0.677549128,0.678720629,0.679841691,0.680909514,0.681921815,0.682876782,0.683773043,0.684609623,0.685385911,0.686101627,0.686756791,0.687351689,0.687886849,0.688363011,0.688781103,0.689142219,0.689447597,0.689698598,0.689896688,0.690043421,0.690140423,0.69018938,0.69019202,0.690150106,0.690065425,0.689939775,0.689774959,0.689572775,0.689335012,0.689063444,0.688759819,0.688425862,0.688063266,0.687673689,0.687258753,0.686820039,0.686359087,0.685877393,0.68537641,TRUE,0.000287687,7
2.292138346,0.569115432,8.215500075,6.23368126,4.034847153,0.259254316,2.236113739,11.57198832,0.015901928,-1.673908641,0.662484957,0.663975941,0.665459045,0.666928044,0.668377278,0.66980162,0.671196446,0.672557602,0.673881378,0.675164479,0.676403997,0.677597391,0.678742455,0.679837302,0.68088034,0.681870248,0.682805961,0.68368665,0.684511701,0.685280702,0.685993427,0.686649817,0.687249971,0.687794129,0.688282662,0.688716058,0.689094911,0.689419914,0.689691844,0.689911557,0.690079978,0.690198092,0.690266939,0.690287604,0.690261214,0.690188929,0.690071939,0.689911454,0.689708708,0.689464944,0.689181418,0.688859394,0.688500135,0.688104907,0.687674972,0.687211586,0.686715998,0.686189447,0.685633158,0.685048344,TRUE,0.000176678,8
-0.029386654,0.019172041,0.000793622,-1.286633893,4.787286613,0.299866976,0.464971965,0.03714929,0.022888264,0.168517507,0.66277757,0.664113926,0.665481436,0.666868168,0.668263198,0.669656587,0.671039337,0.672403363,0.673741441,0.675047172,0.676314931,0.677539829,0.678717658,0.679844853,0.680918443,0.681936007,0.682895633,0.683795873,0.684635706,0.685414499,0.68613197,0.686788152,0.687383364,0.687918176,0.688393384,0.688809978,0.689169123,0.689472131,0.689720443,0.689915605,0.690059254,0.690153099,0.690198905,0.690198483,0.690153673,0.690066335,0.68993834,0.689771559,0.689567853,0.689329073,0.689057045,0.688753571,0.68842042,0.688059329,0.687671992,0.687260066,0.686825159,0.686368838,0.685892618,0.685397969,FALSE,0.000300401,9
