stim_mu_1,stim_mu_2,var_state,mu_true_1,mu_true_2,var_true,w_r,w_V,alpha,bias,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,pred9,pred10,pred11,pred12,pred13,pred14,pred15,pred16,pred17,pred18,pred19,pred20,pred21,pred22,pred23,pred24,pred25,pred26,pred27,pred28,pred29,pred30,pred31,pred32,pred33,pred34,pred35,pred36,pred37,pred38,pred39,pred40,pred41,pred42,pred43,pred44,pred45,pred46,pred47,pred48,pred49,pred50,success,rmse,seed
0.69506895,1.266803087,1.884642257,13.11138151,15.62562103,0.576913621,1,1,0.016763409,-0.428972533,0.662587048,0.664055383,0.665518162,0.666969222,0.668402905,0.669814039,0.671197911,0.672550251,0.673867207,0.675145325,0.676381528,0.677573095,0.678717643,0.679813105,0.680857711,0.681849971,0.682788656,0.683672783,0.684501594,0.685274545,0.685991286,0.686651651,0.687255639,0.687803405,0.688295246,0.688731587,0.68911297,0.689440048,0.689713567,0.689934361,0.690103343,0.690221495,0.69028986,0.690309534,0.690281662,0.690207427,0.690088047,0.689924766,0.689718854,0.689471597,0.689184295,0.688858256,0.688494793,0.688095223,0.687660859,0.68719301,0.686692976,0.686162051,0.685601511,0.685012623,TRUE,0.000175639,0
-82.70629109,11.01294698,6315.5212,-1021.451832,1098.92092,0.097015571,1,1,0.016749405,-0.428663516,0.662554354,0.66403085,0.665500688,0.6669578,0.668396617,0.669812049,0.671199464,0.672554667,0.673873876,0.675153703,0.676391132,0.677583501,0.67872848,0.679824052,0.680868492,0.681860355,0.682798452,0.683681834,0.684509778,0.685281769,0.685997488,0.686656791,0.687259703,0.687806398,0.688297192,0.688732526,0.68911296,0.689439156,0.689711873,0.689931957,0.690100328,0.690217974,0.690285947,0.690305347,0.690277321,0.690203058,0.690083777,0.689920724,0.689715169,0.6894684,0.689181713,0.688856419,0.688493828,0.688095255,0.68766201,0.687195401,0.686696725,0.686167272,0.685608316,0.685021119,TRUE,0.000176005,1
0.315797483,-0.341324891,0.195606309,7.190301281,-2.127971692,0.330141878,1,1,0.016754834,-0.428851471,0.6625781,0.664049548,0.665514966,0.666968233,0.668403734,0.669816333,0.671201356,0.672554564,0.67387214,0.675150657,0.676387068,0.677578678,0.678723126,0.679818368,0.680862654,0.681854514,0.682792736,0.683676351,0.684504618,0.685277003,0.68599317,0.686652963,0.687256391,0.687803617,0.688294945,0.688730807,0.689111752,0.689438436,0.689711611,0.689932114,0.690100861,0.690218836,0.690287085,0.690306706,0.690278843,0.690204681,0.690085437,0.689922357,0.689716709,0.68946978,0.689182867,0.688857278,0.688494326,0.688095325,0.687661587,0.687194419,0.686695121,0.686164982,0.68560528,0.685017277,TRUE,0.000175771,2
0.089594984,1.111548624,1.125683115,19.19045062,13.96719445,0.983422036,1,1,0.016749242,-0.428812344,0.662573357,0.664045636,0.665511743,0.666965575,0.668401531,0.669814489,0.671199788,0.672553202,0.673870923,0.675149537,0.676386004,0.677577638,0.678722087,0.679817312,0.680861572,0.681853401,0.682791592,0.683675181,0.684503431,0.685275812,0.685991991,0.686651814,0.687255292,0.687802591,0.688294017,0.688730001,0.689111095,0.689437955,0.689711333,0.689932067,0.690101073,0.690219335,0.690287898,0.69030786,0.690280365,0.690206596,0.690087771,0.689925134,0.689719953,0.689473513,0.689187111,0.688862054,0.688499654,0.688101222,0.687668071,0.687201506,0.686702826,0.68617332,0.685614263,0.685026917,TRUE,0.000175844,3
0.000705478,0.116028983,0.012072867,5.094589545,1.573846121,0.13048514,1,1,0.016758002,-0.42945526,0.662650996,0.664105393,0.665555727,0.666995737,0.668419669,0.669822259,0.671198707,0.672544657,0.673856179,0.675129741,0.676362192,0.677550745,0.678692947,0.67978667,0.680830085,0.681821647,0.682760074,0.683644333,0.684473621,0.685247348,0.685965126,0.686626749,0.687232183,0.687781549,0.688275112,0.68871327,0.68909654,0.689425549,0.689701022,0.689923773,0.690094697,0.690214757,0.690284983,0.690306457,0.69028031,0.690207715,0.69008988,0.689928042,0.689723462,0.689477418,0.689191206,0.688866128,0.688503496,0.68810462,0.687670813,0.68720338,0.686703622,0.68617283,0.685612282,0.685023244,TRUE,0.000176929,4
0.034762833,0.469941793,0.065579961,16.32184972,-15.3808656,0.621104089,1,1,0.000601602,0.609455902,0.67210885,0.672555479,0.673002378,0.673449548,0.673896987,0.674344695,0.674792672,0.675240916,0.675689427,0.676138205,0.676587249,0.677036557,0.67748613,0.677935967,0.678386067,0.678836429,0.679287054,0.679737939,0.680189085,0.680640491,0.681092156,0.68154408,0.681996261,0.6824487,0.682901396,0.683354347,0.683807553,0.684261015,0.68471473,0.685168698,0.685622919,0.686077392,0.686532116,0.686987091,0.687442316,0.687897789,0.688353512,0.688809482,0.6892657,0.689722164,0.690178875,0.69063583,0.69109303,0.691550474,0.692008161,0.69246609,0.692924262,0.693382674,0.693841327,0.69430022,TRUE,0.004677706,5
0.070606648,0.042166923,0.017073089,-6.427869328,-10.21305652,0.040878728,1,1,0.001101408,-0.035519122,0.671635778,0.672116772,0.672597001,0.673076465,0.673555165,0.674033102,0.674510277,0.674986692,0.675462346,0.675937241,0.676411378,0.676884757,0.67735738,0.677829248,0.678300361,0.678770721,0.679240327,0.679709183,0.680177287,0.680644641,0.681111246,0.681577104,0.682042214,0.682506578,0.682970196,0.683433071,0.683895202,0.68435659,0.684817237,0.685277143,0.685736309,0.686194737,0.686652427,0.68710938,0.687565597,0.688021079,0.688475827,0.688929841,0.689383123,0.689835674,0.690287495,0.690738586,0.691188948,0.691638583,0.692087492,0.692535674,0.692983132,0.693429865,0.693875876,0.694321165,TRUE,0.004586167,6
-0.026108447,0.0258152,0.001160704,7.301690155,8.095194114,0.913841602,1,1,0.016860794,-0.431865324,0.662938865,0.664319948,0.665706562,0.667091659,0.66846874,0.669831832,0.671175465,0.672494651,0.673784863,0.675042009,0.676262413,0.677442792,0.678580236,0.679672188,0.680716418,0.68171101,0.682654341,0.68354506,0.684382071,0.685164518,0.685891765,0.686563383,0.687179132,0.687738948,0.68824293,0.688691323,0.689084511,0.689423,0.689707407,0.689938454,0.690116953,0.690243798,0.690319957,0.690346462,0.690324403,0.690254917,0.690139186,0.689978428,0.689773889,0.689526842,0.689238578,0.688910403,0.688543633,0.68813959,0.687699599,0.687224983,0.686717062,0.686177148,0.685606543,0.685006537,FALSE,0.000201689,7
0.09147947,0.149609399,0.044949245,-4.825613166,-8.57201661,0.007219128,1,1,0.000858508,0.026393065,0.671785536,0.672257157,0.67272826,0.673198847,0.673668916,0.674138469,0.674607505,0.675076025,0.675544029,0.676011516,0.676478488,0.676944943,0.677410884,0.677876308,0.678341218,0.678805612,0.679269491,0.679732856,0.680195706,0.680658041,0.681119863,0.68158117,0.682041963,0.682502243,0.68296201,0.683421263,0.683880002,0.684338229,0.684795943,0.685253145,0.685709834,0.686166011,0.686621676,0.68707683,0.687531471,0.687985602,0.688439221,0.688892329,0.689344926,0.689797013,0.69024859,0.690699656,0.691150212,0.691600259,0.692049796,0.692498823,0.692947342,0.693395352,0.693842853,0.694289845,TRUE,0.004606528,8
-0.118822514,0.063543019,0.016331661,2.81687001,9.234261421,0.179104481,1,1,0.016712929,-0.429393943,0.662665471,0.664120215,0.665570259,0.667009436,0.668432085,0.66983302,0.67120752,0.672551297,0.673860482,0.675131602,0.676361558,0.677547606,0.678687339,0.679778662,0.68081978,0.681809176,0.682745594,0.683628019,0.684455668,0.685227967,0.685944538,0.686605185,0.687209881,0.687758752,0.688252067,0.688690225,0.689073743,0.689403245,0.689679455,0.689903182,0.690075315,0.690196813,0.690268698,0.690292045,0.690267978,0.690197661,0.690082293,0.689923101,0.689721338,0.689478273,0.689195191,0.688873386,0.688514159,0.688118812,0.687688645,0.687224958,0.686729041,0.686202174,0.685645628,0.68506066,TRUE,0.000179615,9
