stim_mu_1,stim_mu_2,var_state,mu_true_1,mu_true_2,var_true,w_r,w_V,alpha,bias,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,pred9,pred10,pred11,pred12,pred13,pred14,pred15,pred16,pred17,pred18,pred19,pred20,pred21,pred22,pred23,pred24,pred25,pred26,pred27,pred28,pred29,pred30,pred31,pred32,pred33,pred34,pred35,pred36,pred37,pred38,pred39,pred40,pred41,pred42,pred43,pred44,pred45,pred46,pred47,pred48,pred49,pred50,success,rmse,seed
0.398557213,-0.385966208,2.343159905,-2.478271336,0.082185682,0.634955673,3.927516997,10.20050068,0.094825139,-2.927382083,0.095393294,0.181227833,0.259042368,0.329534765,0.393361256,0.451131726,0.503408354,0.550706335,0.593495854,0.632204746,0.6672215,0.698898347,0.727554313,0.753478145,0.776931058,0.798149288,0.817346438,0.834715631,0.850431463,0.864651784,0.877519305,0.88916306,0.89969972,0.909234789,0.917863675,0.925672665,0.932739801,0.939135673,0.944924135,0.950162949,0.954904372,0.959195679,0.963079645,0.966594972,0.969776676,0.972656445,0.975262951,0.97762214,0.979757492,0.981690255,0.983439658,0.985023104,0.986456343,0.987753628,0.988927859,0.989990712,0.990952754,0.991823549,0.992611754,0.993325203,TRUE,6.45E-05,0
15.10007331,4.470105907,3375.655472,-18.25072232,-40.06644149,0.412239556,10.40549619,27.77961073,0.094876702,-9.40538127,0.095357183,0.181235604,0.259066392,0.329560042,0.393380579,0.451142504,0.50341057,0.550701266,0.593485293,0.632190562,0.667205393,0.698881739,0.727538317,0.753463574,0.776918459,0.798138979,0.817338557,0.834710173,0.850428319,0.864650768,0.877520185,0.889165573,0.899703591,0.909239742,0.917869442,0.925678993,0.932746456,0.939142442,0.944930826,0.950169394,0.954910424,0.959201215,0.963084561,0.966599181,0.96978011,0.972659051,0.97526469,0.977622985,0.979757427,0.981689273,0.983437761,0.985020299,0.986452644,0.987749054,0.988922432,0.989984458,0.990945701,0.991815727,0.992603193,0.993315935,TRUE,5.41E-05,1
-2.284252601,0.776238218,105.3542816,6.126809811,25.08425589,2.442106522,52.39443617,64.09328692,0.049756644,-51.39343321,0.095499634,0.181330064,0.259086643,0.329512074,0.393284132,0.451020683,0.503284447,0.550587484,0.593395407,0.63213131,0.667179414,0.698888456,0.72757481,0.753525367,0.777000183,0.798234906,0.817443003,0.834817793,0.850534305,0.864750975,0.877611192,0.8892447,0.899768885,0.909289932,0.917903885,0.925697607,0.932749647,0.939131035,0.944905994,0.95013259,0.954863319,0.959145641,0.963022461,0.966532565,0.969711013,0.972589502,0.975196684,0.977558457,0.979698237,0.981637187,0.983394443,0.984987302,0.986431401,0.987740879,0.988928519,0.990005876,0.990983403,0.991870547,0.992675853,0.99340705,TRUE,0.000101113,2
0.350531333,0.490997586,6.064819645,-5.227843718,-0.348564912,1.186539049,5.544574784,14.85135171,0.095051265,-4.54452896,0.095212361,0.181245541,0.259134443,0.329634642,0.393437338,0.4511728,0.503414395,0.550682847,0.593450493,0.632145408,0.667155309,0.698831208,0.72749079,0.753421517,0.776883468,0.798111925,0.817319732,0.834699423,0.850425163,0.864654501,0.877529957,0.889180457,0.899722631,0.909261992,0.917893995,0.925704996,0.932773126,0.939169072,0.944956788,0.950194139,0.954933481,0.959222183,0.96310311,0.966615043,0.969793076,0.972668961,0.975271431,0.977626485,0.979757649,0.981686211,0.983431435,0.985010751,0.986439934,0.987733256,0.988903635,0.989962758,0.990921202,0.991788538,0.992573428,0.993283709,TRUE,1.96E-05,3
0.925623541,1.257698677,32.79406033,-63.1263571,47.9654349,0.17448436,32.50322212,14.60872017,0.049898496,-31.50204311,0.095525563,0.181332196,0.25907688,0.329498338,0.393271402,0.451011799,0.50328073,0.550589217,0.593402191,0.632142331,0.667193643,0.698904783,0.727592147,0.75354271,0.77701665,0.798249763,0.817455668,0.834827837,0.850541446,0.864755065,0.877612201,0.889242705,0.899764049,0.909282494,0.917894142,0.925685901,0.932736355,0.939116556,0.944890739,0.950116976,0.954847761,0.959130545,0.96300822,0.966519555,0.969699592,0.972580004,0.975189418,0.977553711,0.979696269,0.981638234,0.983398714,0.984994982,0.98644265,0.987755836,0.988947297,0.990028571,0.991010089,0.991901279,0.992710671,0.993445975,TRUE,0.00011326,4
1.499337438,0.206192592,115.9999047,-427.3186346,-50.04743115,0.583244597,111.9014616,0.01037426,0.049039825,-110.9011733,0.095249601,0.181283299,0.259154677,0.329633713,0.393418629,0.45114241,0.50337877,0.550647586,0.593419868,0.632122275,0.667141231,0.698826676,0.727495465,0.753434469,0.776903382,0.798137277,0.817348922,0.834730882,0.850457427,0.86468626,0.877560085,0.889208027,0.899746918,0.909282468,0.917910315,0.925716986,0.932780761,0.93917246,0.944956148,0.950189784,0.954925799,0.959211623,0.963090161,0.966600227,0.969776932,0.972652037,0.975254273,0.97760963,0.97974162,0.981671509,0.983418538,0.985000111,0.986431972,0.987728363,0.988902168,0.989965044,0.990927535,0.991799179,0.992588608,0.993303628,TRUE,2.72E-05,5
-0.156747743,1.591080419,135.8421932,-94.6092485,-374.4824198,0.746397678,117.4390288,0.012719816,0.049024413,-116.4387619,0.095249871,0.181285462,0.25915761,0.329636689,0.393421211,0.45114437,0.503380021,0.550648143,0.593419805,0.632121704,0.66714028,0.698825475,0.727494141,0.753433135,0.776902136,0.798136201,0.817348078,0.834730317,0.85045717,0.864686327,0.877560477,0.889208734,0.899747922,0.90928374,0.917911822,0.92571869,0.932782619,0.939174426,0.944958178,0.95019183,0.954927814,0.959213562,0.96309198,0.966601883,0.969778385,0.97265325,0.97525521,0.977610259,0.979741911,0.981671436,0.983418077,0.98499924,0.986430673,0.987726621,0.988899969,0.989962377,0.990924391,0.991795553,0.992584494,0.993299024,TRUE,2.60E-05,6
-1.326576354,1.051919511,55.43240928,37.26627123,49.20934923,0.44109456,45.93193878,16.72378476,0.049530025,-44.93114812,0.095407227,0.181308338,0.259105704,0.329551164,0.393329344,0.451063177,0.503319073,0.550611725,0.593408566,0.6321339,0.667172708,0.698874147,0.727554774,0.753501493,0.776974259,0.798208546,0.817417605,0.83479452,0.850514079,0.864734488,0.877598918,0.889236917,0.899765695,0.909291285,0.917909603,0.925707403,0.93276315,0.939147805,0.944925543,0.950154393,0.954886832,0.959170309,0.963047729,0.966557885,0.969735856,0.972613357,0.975219064,0.977578905,0.979716325,0.981652521,0.983406659,0.984996072,0.98643643,0.987741903,0.988925306,0.989998227,0.990971146,0.991853539,0.992653978,0.993380216,TRUE,7.73E-05,7
-1.649609866,-0.352402571,84.35327931,594.5537623,-383.0643699,0.040587482,65.49146462,0.00983683,0.049228922,-64.49097755,0.095286967,0.181269753,0.259113037,0.329579757,0.393362854,0.451091402,0.503336265,0.550615296,0.593398103,0.632110416,0.667138088,0.698830744,0.727505113,0.753448071,0.776919407,0.798154344,0.817365835,0.834746643,0.850471237,0.864697515,0.877568363,0.889213069,0.899748615,0.909280837,0.917905483,0.92570917,0.932770253,0.939159607,0.944941343,0.950173451,0.954908379,0.959193569,0.963071927,0.966582263,0.969759674,0.972635907,0.975239673,0.97759694,0.979731194,0.981663678,0.983413603,0.984998346,0.986433624,0.987733653,0.98891129,0.989978166,0.990944801,0.99182071,0.9926145,0.99333396,TRUE,4.75E-05,8
-1.464867181,-0.85706834,95.15987421,144.6492897,-61.30178236,0.118278541,73.00137228,0.051582092,0.049180671,-72.00094585,0.095281549,0.181277186,0.259127671,0.329597676,0.393381441,0.451109003,0.503351926,0.550628561,0.59340886,0.632118783,0.667144322,0.698835181,0.727508121,0.753450017,0.776920637,0.798155168,0.817366518,0.834747405,0.85047225,0.864698906,0.877570215,0.889215427,0.899751491,0.909284212,0.917909313,0.925713392,0.932774787,0.93916436,0.944946215,0.950178332,0.95491316,0.959198137,0.963076172,0.966586075,0.969762948,0.972638543,0.975241576,0.977598022,0.979731373,0.981662879,0.983411758,0.984995396,0.986429515,0.987728338,0.98890473,0.989970328,0.990935657,0.991810239,0.992602687,0.993320793,TRUE,4.21E-05,9
