stim_mu_1,stim_mu_2,var_state,mu_true_1,mu_true_2,var_true,w_r,w_V,alpha,bias,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,pred9,pred10,pred11,pred12,pred13,pred14,pred15,pred16,pred17,pred18,pred19,pred20,pred21,pred22,pred23,pred24,pred25,pred26,pred27,pred28,pred29,pred30,pred31,pred32,pred33,pred34,pred35,pred36,pred37,pred38,pred39,pred40,pred41,pred42,pred43,pred44,pred45,pred46,pred47,pred48,pred49,pred50,success,rmse,seed
-1.295512756,10.52635862,7.827895801,-11.60936143,-4.629976438,0.645630798,0.707374443,1.547550465,0.011326598,0.853454891,0.69286588,0.689457319,0.686226635,0.683171122,0.680288305,0.677575944,0.675032026,0.672654761,0.67044258,0.668394122,0.666508232,0.664783951,0.663220507,0.661817305,0.660573913,0.659490056,0.658565599,0.657800534,0.657194969,0.656749111,0.656463251,0.656337752,0.65637303,0.656569541,0.656927762,0.657448182,0.658131279,0.658977512,0.659987299,0.661161009,0.662498947,0.664001337,0.665668315,0.667499912,0.669496049,0.671656521,0.673980991,0.676468984,0.679119875,0.681932886,0.68490708,0.688041355,0.691334445,0.694784913,0.698391154,0.70215139,0.706063674,0.710125891,0.714335759,0.718690834,TRUE,4.13E-05,0
-115.6318369,199.8548996,4542.138171,43.20102654,-77.8765608,0.034675343,1.271511102,4.423779238,0.008117284,1.025103413,0.692901393,0.689507924,0.686283585,0.683227357,0.680338321,0.677615647,0.675058596,0.672666512,0.67043882,0.668375023,0.666474694,0.664737476,0.663163073,0.661751247,0.660501815,0.659414642,0.658489633,0.657726734,0.657125922,0.656687203,0.656410601,0.656296162,0.656343938,0.656553991,0.656926381,0.657461166,0.658158391,0.659018091,0.660040278,0.661224941,0.662572041,0.664081506,0.665753225,0.667587046,0.669582773,0.67174016,0.674058906,0.676538658,0.679179002,0.681979462,0.684939497,0.688058501,0.691335798,0.69477064,0.698362209,0.70210961,0.706011876,0.710067962,0.714276747,0.718637033,TRUE,4.99E-05,1
6.111293519,-1.51503215,2.798390543,2.207590725,16.71323794,0.040205935,0.731733311,1.616996054,0.011138792,0.854676859,0.692833547,0.689436431,0.686215264,0.683167534,0.680290958,0.67758347,0.675043226,0.672668592,0.670458143,0.668410656,0.666525098,0.664800626,0.663236568,0.661832422,0.66058784,0.659502617,0.65857668,0.657810077,0.657202957,0.656755566,0.656468223,0.656341314,0.65637527,0.656570559,0.656927665,0.657447078,0.658129278,0.65897472,0.659983819,0.66115694,0.662494384,0.663996371,0.665663037,0.667494413,0.669490423,0.67165087,0.673975429,0.676463638,0.679114894,0.681928441,0.684903374,0.688038626,0.691332971,0.69478502,0.698393217,0.702155842,0.706071012,0.710136678,0.71435063,0.718710501,TRUE,4.15E-05,2
1.29299429,3.496411629,1.327895763,-12.89493709,4.045873781,1.060506094,1.440489389,4.232606103,0.007767323,0.819931425,0.692697694,0.689373145,0.686206767,0.683198512,0.68034839,0.677656464,0.675122846,0.672747691,0.670531197,0.668473596,0.66657515,0.664836151,0.663256909,0.661837753,0.660579025,0.659481072,0.658544245,0.657768896,0.657155366,0.656703987,0.656415078,0.656288933,0.656325827,0.656526002,0.656889671,0.657417008,0.658108148,0.658963182,0.659982154,0.661165056,0.662511828,0.66402235,0.665696445,0.667533874,0.669534332,0.671697448,0.674022782,0.676509823,0.67915799,0.681966626,0.684935001,0.68806231,0.691347671,0.694790125,0.698388636,0.702142093,0.706049305,0.710109007,0.714319854,0.718680429,TRUE,4.85E-05,3
8.510236257,2.121908324,8.730063063,-0.961183572,6.30058764,0.229143902,2.545509391,8.222697204,0.005874115,0.613818279,0.692699703,0.689377628,0.686211766,0.683202532,0.680350348,0.677655637,0.67511882,0.672740321,0.670520557,0.66845994,0.666558876,0.664817758,0.663236973,0.661816889,0.660557862,0.65946023,0.658524313,0.65775041,0.657138797,0.656689727,0.656403427,0.656280097,0.656319908,0.656523002,0.656889489,0.657419446,0.658112915,0.658969905,0.659990387,0.661174295,0.662521522,0.664031926,0.665705322,0.667541483,0.669540141,0.671700985,0.674023662,0.676507774,0.679152878,0.681958487,0.684924069,0.688049046,0.691332796,0.694774648,0.69837389,0.702129759,0.706041449,0.710108108,0.714328839,0.718702697,TRUE,4.08E-05,4
-2.364914966,4.221308253,1.843959627,2.080312421,-0.767856183,0.605381327,1.031627507,2.861865021,0.009251843,0.93569706,0.692765108,0.689394501,0.686192901,0.683158891,0.680291194,0.677588673,0.67505032,0.672675258,0.670462734,0.66841211,0.666522864,0.664794577,0.663226932,0.661819704,0.660572755,0.659486026,0.658559529,0.657793339,0.657187588,0.656742455,0.65645816,0.656334951,0.656373104,0.656572906,0.656934653,0.657458638,0.658145146,0.658994445,0.660006776,0.66118235,0.662521336,0.664023857,0.665689984,0.667519726,0.669513028,0.671669761,0.67398972,0.676472619,0.679118084,0.681925651,0.684894761,0.688024757,0.691314882,0.694764276,0.698371973,0.7021369,0.706057877,0.710133614,0.714362713,0.718743667,TRUE,2.91E-05,5
6.982016053,4.344070541,7.005830294,-8.124217233,12.35024681,0.592429268,1.742219464,5.057370932,0.007089117,0.719716752,0.692680823,0.689363822,0.686202758,0.683197936,0.680349688,0.677658372,0.675124365,0.672748063,0.670529877,0.668470228,0.666569543,0.664828253,0.663246788,0.661825577,0.660565038,0.659465582,0.658527602,0.657751476,0.657137562,0.656686191,0.656397669,0.656272272,0.656310242,0.656511784,0.656877067,0.657406215,0.658099311,0.658956391,0.659977441,0.661162398,0.662511146,0.664023512,0.665699271,0.667538136,0.669539762,0.671703746,0.674029618,0.67651685,0.679164847,0.681972952,0.684940442,0.688066528,0.691350356,0.694791006,0.698387492,0.702138764,0.706043703,0.710101127,0.714309791,0.718668382,TRUE,5.20E-05,6
-1.634516546,8.13033515,5.186225734,-23.76278099,-7.663698601,0.53543849,0.897308052,2.342250484,0.009927834,0.912493598,0.692855686,0.689461454,0.686240185,0.683190005,0.680309213,0.677596275,0.675049817,0.672668627,0.670451642,0.668397949,0.666506774,0.664777476,0.663209544,0.661802582,0.660556306,0.659470535,0.658545178,0.657780232,0.657175764,0.656731908,0.656448851,0.656326825,0.656366096,0.656566953,0.656929701,0.657454645,0.658142087,0.65899231,0.660005573,0.661182097,0.662522063,0.664025593,0.665692753,0.667523536,0.669517859,0.671675556,0.673996369,0.676479944,0.679125826,0.681933453,0.68490215,0.688031128,0.691319481,0.694766181,0.698370076,0.702129892,0.706044228,0.710111558,0.714330229,0.718698463,TRUE,2.96E-05,7
1.53381062,6.346715246,3.101476118,-1.669081337,-1.866771144,0.044591765,0.836216372,2.053933229,0.010359368,0.900019077,0.692835911,0.68943822,0.686215477,0.683165482,0.680286228,0.677575895,0.67503285,0.672655641,0.670442988,0.668393786,0.666507088,0.664782107,0.663218203,0.661814876,0.660571758,0.659488604,0.658565279,0.657801752,0.657198083,0.656754411,0.656470946,0.656347953,0.656385746,0.65658467,0.656945096,0.657467401,0.658151965,0.658999153,0.660009308,0.661182738,0.662519705,0.664020415,0.66568501,0.667513556,0.669506036,0.671662342,0.673982266,0.676465492,0.679111595,0.681920027,0.684890119,0.688021073,0.691311962,0.69476172,0.698369147,0.702132903,0.706051511,0.71012335,0.714346662,0.718719551,TRUE,3.29E-05,8
8.483259664,20.42906865,12.77880637,103.9791298,-148.5446909,0.211267872,5.309311796,0,0.014075049,0.665774609,0.665774683,0.665774732,0.665774809,0.665774932,0.665775123,0.665775416,0.665775861,0.665776527,0.665777512,0.665778953,0.665781036,0.665784015,0.665788229,0.665794128,0.665802302,0.665813516,0.665828754,0.665849268,0.665876633,0.665912817,0.665960253,0.66602192,0.666101442,0.666203181,0.666332349,0.666495122,0.666698761,0.666951736,0.667263853,0.667646382,0.668112183,0.668675824,0.669353695,0.670164112,0.671127406,0.672265999,0.67360446,0.675169539,0.676990182,0.679097519,0.681524826,0.68430746,0.687482766,0.691089958,0.695169969,0.699765277,0.704919707,0.710678204,0.717086592,0.724191308,TRUE,0.008795436,9
4.046548246,-1.657572332,2.093159977,5.61988208,4.285509308,0.237980055,1.471434135,2.240862025,0.008002101,0.417707265,0.692604026,0.689326431,0.686196729,0.68321602,0.680385409,0.677706002,0.675178901,0.672805196,0.670585961,0.668522251,0.666615092,0.664865482,0.66327438,0.661842705,0.660571331,0.659461079,0.658512718,0.657726955,0.657104436,0.656645739,0.656351371,0.656221764,0.656257274,0.656458177,0.656824662,0.657356836,0.658054717,0.658918231,0.659947215,0.661141411,0.662500466,0.664023932,0.665711264,0.667561821,0.669574864,0.671749555,0.674084963,0.676580056,0.679233708,0.682044698,0.685011709,0.688133333,0.691408071,0.694834331,0.698410435,0.70213462,0.706005037,0.710019756,0.714176768,0.718473987,TRUE,0.000104238,10
-0.476649828,-1.620112668,24.01270215,-152.3950384,68.70826252,0.494444568,64.1073412,1.15E-18,7.40E-05,-59.7512034,0.661055807,0.661586497,0.662117113,0.662647655,0.663178124,0.663708518,0.664238839,0.664769086,0.665299259,0.665829359,0.666359384,0.666889336,0.667419214,0.667949019,0.668478749,0.669008406,0.669537989,0.670067498,0.670596934,0.671126296,0.671655584,0.672184799,0.67271394,0.673243007,0.673772,0.67430092,0.674829767,0.675358539,0.675887238,0.676415864,0.676944416,0.677472894,0.678001298,0.67852963,0.679057887,0.679586071,0.680114182,0.680642219,0.681170182,0.681698072,0.682225888,0.682753631,0.683281301,0.683808897,0.684336419,0.684863868,0.685391244,0.685918546,0.686445775,0.68697293,TRUE,0.015085259,11
-2.955289996,3.181230013,1.391508024,1.295681132,-0.711145175,0.918315441,0.82937698,2.03430562,0.01036948,0.88685393,0.692833436,0.68944015,0.686220595,0.683172702,0.680294592,0.677584572,0.675041129,0.672662927,0.670448802,0.668397753,0.666508937,0.664781663,0.663215381,0.661809674,0.660564252,0.659478936,0.658553656,0.657788432,0.657183371,0.656738649,0.656454505,0.656331226,0.656369136,0.656568587,0.656929942,0.657453568,0.658139823,0.658989044,0.660001536,0.661177565,0.66251734,0.664021011,0.665688654,0.667520267,0.669515756,0.671674932,0.673997502,0.67648306,0.679131088,0.681940941,0.684911852,0.688042923,0.69133312,0.694781277,0.698386088,0.702146109,0.706059758,0.710125311,0.71434091,0.718704555,TRUE,3.32E-05,12
15.21303402,-0.539048368,17.22542822,-4.917742007,28.04924041,0.844166447,0.99065477,2.714686418,0.009511774,0.971939041,0.692860888,0.689459461,0.686232456,0.683177922,0.680294066,0.677579258,0.675032019,0.672651024,0.670435095,0.668383197,0.66649443,0.66476803,0.663203354,0.661799884,0.660557211,0.659475032,0.658553144,0.657791432,0.657189864,0.656748482,0.656467392,0.656346757,0.656386787,0.65658773,0.656949864,0.657473487,0.658158906,0.659006433,0.660016371,0.661189008,0.662524607,0.664023399,0.665685575,0.667511277,0.669500589,0.671653535,0.673970066,0.67645006,0.67909331,0.681899523,0.684868312,0.687999194,0.691291583,0.694744789,0.698358013,0.702130346,0.706060765,0.710148133,0.714391197,0.718788585,TRUE,2.80E-05,13
5.085671919,10.85777642,18.60393497,123.5326904,107.1233231,1.478377393,2.585733282,0.754635256,0.006319959,-0.273023333,0.6925182,0.68925053,0.686129512,0.68315652,0.680332889,0.677659913,0.675138843,0.672770883,0.670557191,0.668498875,0.666596991,0.664852539,0.663266466,0.661839661,0.660572953,0.659467111,0.65852284,0.657740783,0.657121518,0.656665556,0.656373342,0.656245251,0.65628159,0.656482597,0.656848438,0.657379207,0.65807493,0.658935557,0.659960969,0.661150973,0.662505305,0.664023626,0.665705528,0.66755053,0.669558079,0.671727552,0.674058253,0.67654942,0.679200217,0.682009745,0.684977032,0.688101043,0.691380675,0.694814764,0.698402078,0.702141325,0.706031154,0.71007015,0.714256844,0.718589708,TRUE,8.74E-05,14
1.756645113,-0.3970935,0.32235575,-1.815832362,-7.089158149,0.465002459,1.578159775,4.564325568,0.007444762,0.770998113,0.692663478,0.689347983,0.68618896,0.683186574,0.680341028,0.677652566,0.675121467,0.672748039,0.670532616,0.668475556,0.666577235,0.664838041,0.663258375,0.661838641,0.660579247,0.659480597,0.658543088,0.657767107,0.657153027,0.656701202,0.656411962,0.656285614,0.656322434,0.656522663,0.656886507,0.657414131,0.65810566,0.658961168,0.659980684,0.661164183,0.662511587,0.66402276,0.665697509,0.667535578,0.66953665,0.671700343,0.674026207,0.676513728,0.679162321,0.681971331,0.684940035,0.688067636,0.691353268,0.69479599,0.698394793,0.702148593,0.706056235,0.710116492,0.714328067,0.718689591,TRUE,5.21E-05,15
0.400261091,3.018589757,0.689262746,-0.249378761,-1.078199883,0.176369955,0.916846871,2.420909777,0.009853069,0.934438599,0.692866288,0.68946532,0.686238697,0.683184426,0.680300681,0.677585807,0.675038312,0.672656866,0.670440293,0.668387568,0.666497812,0.664770282,0.663204368,0.661799583,0.660555557,0.659472029,0.658548837,0.657785908,0.657183255,0.656740959,0.656459165,0.656338073,0.656377922,0.656578987,0.656941564,0.657465961,0.658152491,0.659001458,0.660013149,0.661187827,0.662525717,0.664027,0.665691805,0.6675202,0.669512183,0.671667675,0.673986516,0.676468454,0.679113142,0.681920135,0.684888877,0.688018706,0.691308845,0.694758398,0.698366353,0.702131574,0.706052801,0.710128652,0.714357619,0.718738069,FALSE,2.75E-05,16
2.145977339,9.341486631,11.92987307,-56.54336909,62.7126511,0.565261094,3.002004083,2.067577311,0.005803839,-0.298172305,0.692579327,0.689300321,0.686170214,0.683190136,0.680361185,0.677684427,0.675160894,0.672791584,0.670577456,0.668519431,0.666618389,0.664875168,0.663290562,0.661865322,0.66060015,0.659495702,0.658552585,0.657771355,0.65715252,0.656696531,0.656403791,0.656274646,0.656309388,0.656508254,0.656871424,0.657399023,0.658091118,0.658947718,0.659968775,0.661154181,0.662503772,0.664017323,0.665694554,0.667535122,0.669538628,0.671704614,0.674032564,0.676521904,0.679172002,0.681982169,0.68495166,0.688079673,0.691365349,0.694807777,0.698405989,0.702158965,0.706065631,0.710124862,0.714335481,0.71869626,TRUE,7.19E-05,17
6.856019059,5.998140238,12.45187136,-41.55124838,-29.99620702,0.75059605,1.904522342,6.060304002,0.000733577,0.923331745,0.660506785,0.661042207,0.66157869,0.662116234,0.662654841,0.663194512,0.663735249,0.664277054,0.664819927,0.66536387,0.665908884,0.666454971,0.667002133,0.66755037,0.668099684,0.668650076,0.669201548,0.6697541,0.670307736,0.670862454,0.671418258,0.671975148,0.672533126,0.673092192,0.673652349,0.674213597,0.674775937,0.675339372,0.675903902,0.676469528,0.677036252,0.677604075,0.678172998,0.678743022,0.679314149,0.679886379,0.680459715,0.681034156,0.681609705,0.682186363,0.682764129,0.683343007,0.683922996,0.684504099,0.685086315,0.685669647,0.686254095,0.686839661,0.687426344,0.688014148,TRUE,0.014983145,18
0.088700522,1.94890166,0.392132696,-14.62860922,0.724719693,0.081986772,1.603581347,4.170574868,0.007438017,0.671280423,0.692650797,0.689344112,0.686191802,0.683194272,0.680351956,0.677665315,0.675134832,0.67276101,0.670544366,0.668485424,0.666584719,0.664842783,0.66326015,0.661837344,0.66057488,0.659473259,0.658532962,0.657754448,0.657138151,0.656684473,0.656393785,0.656266418,0.656302665,0.656502774,0.656866948,0.657395337,0.658088042,0.658945107,0.659966518,0.661152202,0.662502025,0.664015786,0.665693219,0.667533992,0.669537703,0.671703879,0.674031977,0.676521379,0.679171398,0.681981269,0.684950157,0.688077149,0.69136126,0.694801431,0.698396527,0.70214534,0.706046591,0.710098927,0.714300923,0.718651084,TRUE,6.18E-05,19
2.219393935,7.896201446,6.8483478,-0.337531585,-1.316288882,0.692235826,1.832664943,6.039956498,0.006857954,0.823934716,0.692708277,0.68938017,0.686210011,0.683197927,0.680344074,0.67764864,0.675111837,0.672733901,0.670515088,0.66845567,0.666555933,0.664816173,0.663236694,0.661817802,0.660559805,0.659463007,0.658527709,0.6577542,0.65714276,0.656693651,0.656407121,0.656283393,0.656322671,0.656525128,0.656890912,0.657420137,0.658112884,0.658969198,0.659989084,0.661172507,0.66251939,0.664029609,0.665702996,0.667539331,0.669538348,0.671699727,0.674023094,0.676508025,0.679154037,0.681960593,0.684927098,0.688052899,0.691337285,0.694779488,0.698378677,0.702133965,0.706044403,0.710108985,0.714326643,0.71869625,TRUE,4.07E-05,20
-0.73771848,-1.443567255,1.709327643,-5.11625333,-8.957434749,0.336906216,2.4601375,65.50260294,0.000486709,-1.102966882,0.661638517,0.662141181,0.662643868,0.663146577,0.663649308,0.66415206,0.664654832,0.665157623,0.665660433,0.66616326,0.666666105,0.667168966,0.667671844,0.668174736,0.668677642,0.669180562,0.669683495,0.670186441,0.670689397,0.671192365,0.671695343,0.67219833,0.672701325,0.673204329,0.67370734,0.674210357,0.674713381,0.675216409,0.675719442,0.676222479,0.676725519,0.677228561,0.677731605,0.67823465,0.678737695,0.67924074,0.679743783,0.680246825,0.680749865,0.681252901,0.681755934,0.682258962,0.682761985,0.683265002,0.683768012,0.684271016,0.684774011,0.685276998,0.685779976,0.686282943,TRUE,0.015083465,21
