stim_mu_1,stim_mu_2,var_state,mu_true_1,mu_true_2,var_true,w_r,w_V,alpha,bias,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,pred9,pred10,pred11,pred12,pred13,pred14,pred15,pred16,pred17,pred18,pred19,pred20,pred21,pred22,pred23,pred24,pred25,pred26,pred27,pred28,pred29,pred30,pred31,pred32,pred33,pred34,pred35,pred36,pred37,pred38,pred39,pred40,pred41,pred42,pred43,pred44,pred45,pred46,pred47,pred48,pred49,pred50,success,rmse,seed
0.02881676,-0.054321284,0.036682782,0.544883183,0.423654799,0.645894113,0.715982417,0,0.04532586,-0.026044149,0.659932963,0.662539794,0.664924294,0.667104726,0.66909797,0.67091961,0.672584016,0.674104421,0.675493005,0.676760962,0.677918578,0.678975293,0.679939768,0.680819942,0.681623091,0.682355877,0.683024402,0.683634247,0.684190518,0.684697885,0.685160616,0.685582612,0.685967439,0.686318353,0.686638328,0.686930078,0.687196085,0.68743861,0.68765972,0.6878613,0.68804507,0.6882126,0.688365322,0.688504541,0.688631449,0.688747133,0.688852585,0.688948707,0.689036324,0.689116188,0.689188984,0.689255337,0.689315816,0.689370942,0.689421187,0.689466984,0.689508726,0.689546772,0.689581449,0.689613055,TRUE,0.001733933,0
0.417022005,0.720324493,0.000114375,0.302332573,0.146755891,0.092338595,0.186260211,0,0.000345561,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,TRUE,0.008048041,1
0.084231363,0.002877575,0.090288502,0.435322393,0.420367802,0.330334821,0.933369821,0,0.045196458,-0.243426808,0.659922239,0.662535233,0.664923954,0.667107118,0.669101971,0.670924387,0.672588963,0.674109114,0.675497157,0.676764396,0.677921197,0.678977062,0.679940695,0.680820068,0.681622478,0.682354603,0.683022548,0.683631901,0.684187766,0.684694811,0.6851573,0.685579128,0.685963855,0.68631473,0.686634721,0.686926536,0.68719265,0.687435318,0.687656602,0.687858381,0.688042371,0.688210137,0.688363107,0.688502585,0.688629757,0.688745709,0.688851429,0.68894782,0.689035702,0.689115828,0.68918888,0.689255484,0.689316207,0.689371568,0.689422041,0.689468058,0.68951001,0.689548258,0.689583128,0.689614918,TRUE,0.001735966,2
0.138893112,0.168963414,0.332660107,0.510827605,0.892946954,0.896293089,0.517557259,0,0.045530754,0.172374238,0.659948728,0.662544915,0.664922102,0.667097782,0.669088215,0.670908493,0.672572594,0.674093443,0.675482979,0.676752212,0.677911286,0.678969533,0.679935537,0.680817181,0.681621702,0.682355737,0.683025374,0.683636185,0.684193277,0.684701323,0.685164598,0.685587011,0.685972138,0.686323244,0.686643314,0.686935076,0.687201018,0.687443414,0.687664339,0.687865686,0.688049185,0.688216411,0.688368803,0.688507673,0.688634218,0.688749529,0.688854601,0.688950341,0.689037577,0.689117063,0.689189486,0.689255473,0.689315596,0.689370374,0.689420283,0.689465754,0.689507183,0.689544928,0.689579316,0.689610647,TRUE,0.001730543,3
0.068598867,-0.014215236,0.137043109,0.714815994,0.697728825,0.216089496,2.031896893,0,0.044976881,-1.341945899,0.659908694,0.66253243,0.664928458,0.667116299,0.66911384,0.670937468,0.672602184,0.674121721,0.675508644,0.676774445,0.677929635,0.678983825,0.679945799,0.680823585,0.681624519,0.682355303,0.683022058,0.683630376,0.684185364,0.684691684,0.685153593,0.685574978,0.685959387,0.686310057,0.686629946,0.686921751,0.687187933,0.687430741,0.687652223,0.687854252,0.688038533,0.688206625,0.688359949,0.688499801,0.688627364,0.688743717,0.688849845,0.688946646,0.689034939,0.689115472,0.689188926,0.689255924,0.689317033,0.689372769,0.689423606,0.689469974,0.689512266,0.68955084,0.689586023,0.689618112,TRUE,0.001739535,4
-0.147505284,0.088671022,0.597724089,0.918610908,0.488411189,0.611743863,1.472671764,0,0.045046989,-0.782723179,0.659913647,0.662533885,0.664927521,0.667113818,0.669110458,0.670933661,0.672598301,0.674118006,0.675505262,0.676771501,0.677927188,0.678981897,0.679944387,0.680822669,0.681624064,0.682355268,0.683022396,0.683631039,0.684186302,0.684692849,0.68515494,0.685576464,0.685960972,0.686311706,0.686631626,0.686923433,0.687189592,0.687432355,0.687653773,0.687855721,0.688039909,0.688207897,0.688361108,0.68850084,0.688628278,0.688744503,0.6888505,0.68894717,0.689035332,0.689115735,0.68918906,0.689255932,0.689316917,0.689372534,0.689423255,0.68946951,0.689511694,0.689550163,0.689585246,0.689617239,TRUE,0.00173839,5
0.161681445,0.062643021,0.599630736,0.041696626,0.10765668,0.595052064,1.455687083,0,0.045050935,-0.765738854,0.659913933,0.662534049,0.664927603,0.667113847,0.669110457,0.670933646,0.672598282,0.674117991,0.675505256,0.676771506,0.677927205,0.678981925,0.679944426,0.680822716,0.681624118,0.682355326,0.683022457,0.6836311,0.684186362,0.684692905,0.685154991,0.685576508,0.685961007,0.686311732,0.686631642,0.686923437,0.687189585,0.687432335,0.687653741,0.687855676,0.688039851,0.688207826,0.688361024,0.688500743,0.688628169,0.688744381,0.688850367,0.688947025,0.689035176,0.689115567,0.689188883,0.689255744,0.68931672,0.689372327,0.689423039,0.689469286,0.689511461,0.689549923,0.689584999,0.689616986,TRUE,0.001738342,6
4.231251762,4.464791636,4.755825722,0.723465178,0.977989512,0.53849587,0.02719614,0,0.075830809,0.661936243,0.663429881,0.664217277,0.665211061,0.666396156,0.667742458,0.669209741,0.670753146,0.672328134,0.673894233,0.675417379,0.676870976,0.678235943,0.679500093,0.680657132,0.681705506,0.682647271,0.683487062,0.684231227,0.684887122,0.685462571,0.685965466,0.686403485,0.686783909,0.687113504,0.687398467,0.687644403,0.687856334,0.688038725,0.688195519,0.68833018,0.688445739,0.688544838,0.68862977,0.688702524,0.688764819,0.68881814,0.688863764,0.688902793,0.688936172,0.688964713,0.688989113,0.689009971,0.689027798,0.689043033,0.689056052,0.689067176,0.689076681,0.689084802,0.689091739,0.689097666,TRUE,0.001402002,7
-0.024298482,0.052700783,0.04441455,0.530855692,0.232728328,0.011398804,0.967782204,0,0.045184282,-0.277838669,0.659922835,0.662536548,0.664925748,0.667109206,0.669104213,0.670926676,0.672591223,0.674111291,0.675499214,0.676766309,0.677922954,0.678978656,0.679942128,0.680821344,0.681623606,0.682355591,0.683023408,0.683632644,0.684188405,0.684695357,0.685157764,0.685579522,0.685964189,0.686315012,0.68663496,0.68692674,0.687192825,0.687435472,0.68765674,0.687858507,0.68804249,0.688210253,0.688363224,0.688502704,0.688629882,0.688745841,0.68885157,0.68894797,0.689035864,0.689116001,0.689189066,0.689255682,0.689316419,0.689371793,0.68942228,0.689468309,0.689510275,0.689548536,0.689583418,0.689615221,TRUE,0.001736202,8
-6.193619088,6.467165446,10.07854052,0.133829529,0.142111085,0.218558676,0.027196985,0,0.07583367,0.661935246,0.663429027,0.664216512,0.665210406,0.666395626,0.667742063,0.66920948,0.670753012,0.672328115,0.673894312,0.675417539,0.676871196,0.678236206,0.679500383,0.680657435,0.68170581,0.682647566,0.683487342,0.684231487,0.684887359,0.685462782,0.68596565,0.686403642,0.686784039,0.687113609,0.687398547,0.687644461,0.68785637,0.688038742,0.688195517,0.688330162,0.688445707,0.688544791,0.688629711,0.688702455,0.688764741,0.688818053,0.688863669,0.688902691,0.688936064,0.688964599,0.688988995,0.689009849,0.689027672,0.689042904,0.68905592,0.689067042,0.689076544,0.689084663,0.689091599,0.689097524,TRUE,0.001402002,9
0.522415557,0.251542341,18.05355139,0.748803883,0.498507012,0.224796646,3.893483763,0,0.044887341,-3.203529596,0.659902437,0.66253046,0.664929408,0.667119123,0.669117749,0.670941877,0.672606669,0.674125983,0.675512482,0.676777735,0.677932309,0.678985857,0.679947196,0.680824375,0.681624747,0.682355021,0.683021327,0.683629257,0.684183918,0.684689972,0.685151672,0.6855729,0.685957202,0.686307811,0.686627678,0.686919496,0.687185723,0.687428603,0.68765018,0.687852323,0.688036735,0.688204971,0.688358449,0.688498462,0.688626193,0.688742718,0.688849019,0.688945994,0.689034461,0.689115165,0.689188789,0.689255952,0.689317222,0.689373116,0.689424106,0.689470621,0.689513055,0.689551765,0.689587078,0.689619292,TRUE,0.001740967,10
2.466488437,0.266471699,0.77354485,0.724933929,0.420203605,0.485427098,0.027195988,0,0.075832232,0.661936157,0.663429695,0.664217077,0.665210853,0.666395949,0.667742261,0.66920956,0.670752985,0.672327995,0.673894115,0.67541728,0.676870893,0.678235872,0.679500031,0.680657073,0.681705448,0.68264721,0.683486996,0.684231155,0.684887041,0.685462481,0.685965366,0.686403375,0.686783788,0.687113373,0.687398327,0.687644254,0.687856176,0.688038559,0.688195345,0.68833,0.688445553,0.688544646,0.688629573,0.688702322,0.688764613,0.68881793,0.688863551,0.688902577,0.688935953,0.688964492,0.68898889,0.689009746,0.689027571,0.689042805,0.689055823,0.689066946,0.68907645,0.689084569,0.689091506,0.689097432,TRUE,0.001402002,11
0.013977952,0.064595443,0.034012173,0.533739393,0.014574962,0.918747008,0.577790125,0,0.045452895,0.112144338,0.65993947,0.662539976,0.664920201,0.667097928,0.669089656,0.670910662,0.672575073,0.674095935,0.675485277,0.676754181,0.677912844,0.678970642,0.679936187,0.680817385,0.681621488,0.682355145,0.683024447,0.683634972,0.684191827,0.684699683,0.685162814,0.685585127,0.685970192,0.686321274,0.686641352,0.68693315,0.687199154,0.687441634,0.68766266,0.687864124,0.688047752,0.688215118,0.688367657,0.688506679,0.68863338,0.68874885,0.688854081,0.68894998,0.689037373,0.689117014,0.689189589,0.689255725,0.689315991,0.689370909,0.689420953,0.689466555,0.689508108,0.689545973,0.689580475,0.689611915,TRUE,0.001731825,12
10.34034331,3.349404877,14.84840285,0.965749198,0.972601114,0.453449247,0.027195969,0,0.075832555,0.661936227,0.663429677,0.664217036,0.665210792,0.666395872,0.667742173,0.669209466,0.670752891,0.672327906,0.673894034,0.675417211,0.676870836,0.678235828,0.679499999,0.680657054,0.68170544,0.682647212,0.683487007,0.684231173,0.684887066,0.685462511,0.6859654,0.686403413,0.68678383,0.687113418,0.687398373,0.687644302,0.687856225,0.688038609,0.688195396,0.688330051,0.688445604,0.688544697,0.688629624,0.688702374,0.688764665,0.688817982,0.688863603,0.688902629,0.688936005,0.688964544,0.688988942,0.689009798,0.689027623,0.689042856,0.689055874,0.689066997,0.689076501,0.68908462,0.689091557,0.689097483,TRUE,0.001402002,13
0.095751313,-0.052730336,0.203946112,0.008046949,0.309735926,0.957603739,1.24799565,0,0.045091815,-0.55804853,0.659916788,0.662534674,0.664926696,0.667111947,0.669107971,0.670930879,0.672595457,0.674115268,0.675502742,0.676769272,0.67792529,0.678980348,0.679943187,0.680821805,0.681623516,0.682355009,0.683022396,0.683631265,0.684186723,0.684693434,0.685155658,0.685577287,0.685961873,0.686312662,0.686632615,0.686924436,0.687190592,0.687433336,0.687654724,0.68785663,0.688040767,0.688208695,0.688361841,0.688501503,0.688628867,0.688745016,0.688850935,0.688947525,0.689035608,0.689115931,0.689189179,0.689255973,0.689316883,0.689372425,0.689423074,0.68946926,0.689511377,0.689549781,0.689584802,0.689616736,TRUE,0.001737638,14
