stim_mu_1,stim_mu_2,var_state,mu_true_1,mu_true_2,var_true,w_r,w_V,alpha,bias,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,pred9,pred10,pred11,pred12,pred13,pred14,pred15,pred16,pred17,pred18,pred19,pred20,pred21,pred22,pred23,pred24,pred25,pred26,pred27,pred28,pred29,pred30,pred31,pred32,pred33,pred34,pred35,pred36,pred37,pred38,pred39,pred40,pred41,pred42,pred43,pred44,pred45,pred46,pred47,pred48,pred49,pred50,success,rmse,seed
0.545018174,0.710190036,0.607706059,0.544930079,0.423750965,0.645894113,0,0.431479387,1.83E-06,0.683157991,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,0.683159546,TRUE,0.008048041,0
0.417022005,0.720324493,0.000114375,0.302332573,0.146755891,0.092338595,0,0.186260211,0.000345561,0.396767474,0.656794384,0.656435602,0.656077129,0.655718966,0.655361112,0.655003568,0.654646332,0.654289405,0.653932786,0.653576476,0.653220473,0.652864778,0.652509391,0.652154311,0.651799538,0.651445071,0.651090911,0.650737058,0.65038351,0.650030269,0.649677332,0.649324702,0.648972376,0.648620355,0.648268639,0.647917228,0.64756612,0.647215317,0.646864817,0.646514621,0.646164728,0.645815138,0.645465851,0.645116867,0.644768185,0.644419805,0.644071727,0.643723951,0.643376476,0.643029302,0.642682429,0.642335857,0.641989586,0.641643615,0.641297943,0.640952572,0.640607501,0.640262728,0.639918255,0.639574081,TRUE,0.037215693,1
0.034823794,0.056039612,0.983225934,1.293810493,0.624741109,0.330334241,0,0.151626092,1.06E-06,0.683162484,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,0.68316251,TRUE,0.008048041,2
0.549709999,0.707557691,0.285878054,0.512721503,0.895388147,0.896291812,0,0.082543431,2.52E-21,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,0.683162501,TRUE,0.008048041,3
1.161378097,2.776335099,22.12883191,10.81076299,-5.957889076,0.216259124,0,0.463993367,0.123723535,0.689311494,0.663342379,0.663737396,0.664737703,0.666116554,0.667710511,0.669403421,0.671114292,0.67278811,0.674388921,0.675894633,0.677293111,0.67857927,0.679752913,0.680817142,0.681777184,0.68263955,0.683411426,0.684100245,0.684713396,0.685258022,0.685740898,0.686168356,0.68654625,0.686879939,0.687174302,0.687433749,0.687662251,0.687863368,0.688040283,0.688195833,0.688332539,0.688452639,0.688558117,0.688650726,0.688732017,0.688803357,0.688865954,0.688920868,0.688969038,0.689011284,0.689048333,0.689080819,0.689109303,0.689134276,0.689156169,0.689175361,0.689192185,0.689206931,0.689219857,0.689231185,TRUE,0.001474693,4
3.273583847,0.924812627,24.97086441,-12.61457585,39.14599444,0.611439804,0,0.40981796,0.123720117,0.689311572,0.663342697,0.663737547,0.664737704,0.666116426,0.667710277,0.669403105,0.671113915,0.672787689,0.674388474,0.675894173,0.677292649,0.678578814,0.679752471,0.680816719,0.681776783,0.682639174,0.683411076,0.684099922,0.684713099,0.685257752,0.685740654,0.686168138,0.686546055,0.686879768,0.687174151,0.687433618,0.687662139,0.687863273,0.688040204,0.688195769,0.688332488,0.6884526,0.688558089,0.688650709,0.688732009,0.688803358,0.688865962,0.688920884,0.688969059,0.689011312,0.689048365,0.689080857,0.689109345,0.689134322,0.689156218,0.689175413,0.689192239,0.689206988,0.689219916,0.689231247,TRUE,0.001474693,5
-1.393702381,-0.322313062,0.000894439,1.64900259,0.794778647,0.595052209,0,3.839166584,2.01E-09,0.683206676,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,0.683162629,TRUE,0.008048041,6
1.2847834,0.545259119,10.03833743,-5.495858969,11.37769811,0.538790354,0,0.978662959,0.123721918,0.689311526,0.663342499,0.663737345,0.664737522,0.666116279,0.667710168,0.669403035,0.67111388,0.672787686,0.674388497,0.675894217,0.677292709,0.678578886,0.679752551,0.680816803,0.68177687,0.68263926,0.683411159,0.684100002,0.684713175,0.685257822,0.685740718,0.686168196,0.686546107,0.686879813,0.68717419,0.687433651,0.687662165,0.687863294,0.68804022,0.688195779,0.688332494,0.688452602,0.688558086,0.688650702,0.688731999,0.688803345,0.688865946,0.688920865,0.688969038,0.689011288,0.689048339,0.689080829,0.689109315,0.68913429,0.689156185,0.689175379,0.689192204,0.689206952,0.689219879,0.689231209,TRUE,0.001474693,7
0.869403778,0.964780691,0.874090746,0.52912735,0.230812575,0.011398525,0,0.420549146,5.51E-12,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,0.683162492,TRUE,0.008048041,8
0.00930839,0.491860909,0.50132989,0.133760684,0.13881415,0.218558731,0,0.411920319,0,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,0.683162498,TRUE,0.008048041,9
0.741015795,0.014061373,0.657796126,0.739029253,0.498086441,0.224796747,0,0.050979554,1.79E-07,0.683162563,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,0.683162579,TRUE,0.008048041,10
0.180258163,0.019474984,0.463221135,0.72493517,0.420205173,0.485427098,0,0.012767749,2.40E-17,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,0.683162533,TRUE,0.008048041,11
0.154189368,0.740010997,0.263360115,0.533748186,0.014623058,0.918746566,0,0.900701268,0,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,0.683162593,TRUE,0.008048041,12
0.615326684,0.073650712,1.021038449,0.83510943,0.933509776,0.453449473,0,0.367307045,0,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,TRUE,0.008048041,13
0.511416357,0.768552692,0.873604103,0.006646752,0.307628742,0.957603739,0,0.507727677,5.60E-13,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,0.683162497,TRUE,0.008048041,14
0.704854222,0.134570712,0.032500241,0.301998703,0.26330915,0.529999242,0,0.077574161,2.86E-17,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,0.683162499,TRUE,0.008048041,15
0.219539911,0.512762133,0.557541873,0.044183974,0.357407359,0.223080637,0,0.683252832,1.11E-13,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,0.683162493,TRUE,0.008048041,16
0.268659222,0.453812118,0.236726937,0.054052516,0.764245944,0.656339651,0,0.575170219,0,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,0.683163141,TRUE,0.008048041,17
1.881470863,-0.557003881,11.27585913,1.001495061,6.424277335,0.750103062,0,0.556218624,0.123722144,0.689311629,0.663342948,0.663737603,0.664737651,0.666116321,0.667710155,0.66940299,0.671113819,0.672787619,0.674388433,0.67589416,0.677292662,0.67857885,0.679752527,0.680816791,0.681776869,0.682639271,0.683411181,0.684100033,0.684713214,0.685257869,0.685740772,0.686168256,0.686546172,0.686879883,0.687174265,0.687433729,0.687662247,0.687863379,0.688040307,0.688195868,0.688332584,0.688452694,0.68855818,0.688650797,0.688732095,0.688803442,0.688866044,0.688920963,0.688969137,0.689011388,0.689048439,0.689080929,0.689109416,0.689134391,0.689156287,0.689175481,0.689192306,0.689207054,0.689219981,0.689231311,TRUE,0.001474693,18
