seed,rmse,success,mu_state_1,mu_state_2,var_state,rho_state,mu_true_1,mu_true_2,var_true,rho_true,w_r,w_V,alpha,bias,complex_add,symmetry_add,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,pred9,pred10,pred11,pred12,pred13,pred14,pred15,pred16,pred17,pred18,pred19,pred20,pred21,pred22,pred23,pred24,pred25,pred26,pred27,pred28,pred29,pred30,pred31,pred32,pred33,pred34,pred35,pred36
0,0.494259389264117,True,0.261968127933778,1.45023417266622,0.075422025589729,0.002163404435286,0.425792783988908,0.657291943131899,0.191482501611971,0.032697342565256,1,1,2.50219776603184E-26,3.17560619611923,0.261960058919719,1.45020725646497,4.1756061909631,3.80984657499035,3.17560706660437,3.17560683410884,4.1756061909631,3.80984657499035,3.17560706660437,3.17560683410884,4.1756061909631,3.80984657499035,3.17560706660437,3.17560683410884,4.1756061909631,3.80984657499035,3.17560706660437,3.17560683410884,4.1756061909631,3.80984657499035,3.17560706660437,3.17560683410884,4.1756061909631,3.80984657499035,3.17560706660437,3.17560683410884,4.1756061909631,3.80984657499035,3.17560706660437,3.17560683410884,4.1756061909631,3.80984657499035,3.17560706660437,3.17560683410884,4.1756061909631,3.80984657499035,3.17560706660437,3.17560683410884
1,0.494445951349718,True,0.167580377928475,0.614108032292668,0.028800826457837,0.000250616345929,0.150910620026751,0.126470300969775,0.034692877112173,0.000415915412871,1,1,0,3.18006343956492,0.166372708879244,0.612616034419449,4.18000001560711,3.79419795724566,3.18149716076998,3.18097153304392,4.18000001560711,3.79419795724566,3.18149716076998,3.18097153304392,4.18000001560711,3.79419795724566,3.18149716076998,3.18097153304392,4.18000001560711,3.79419795724566,3.18149716076998,3.18097153304392,4.18000001560711,3.79419795724566,3.18149716076998,3.18097153304392,4.18000001560711,3.79419795724566,3.18149716076998,3.18097153304392,4.18000001560711,3.79419795724566,3.18149716076998,3.18097153304392,4.18000001560711,3.79419795724566,3.18149716076998,3.18097153304392,4.18000001560711,3.79419795724566,3.18149716076998,3.18097153304392
2,0.494259318313258,True,0.25254662371597,1.45607308245467,0.07258342101882,-0.000247372447208,0.471141520653053,0.602367277085005,0.041881053370637,0.001086215246931,1,1,1.87284774566764E-19,3.17305444431417,0.252555142270359,1.45602018063597,4.1730544245567,3.817502611845,3.17305489835434,3.17305473191062,4.1730544245567,3.817502611845,3.17305489835434,3.17305473191062,4.1730544245567,3.817502611845,3.17305489835434,3.17305473191062,4.1730544245567,3.817502611845,3.17305489835434,3.17305473191062,4.1730544245567,3.817502611845,3.17305489835434,3.17305473191062,4.1730544245567,3.817502611845,3.17305489835434,3.17305473191062,4.1730544245567,3.817502611845,3.17305489835434,3.17305473191062,4.1730544245567,3.817502611845,3.17305489835434,3.17305473191062,4.1730544245567,3.817502611845,3.17305489835434,3.17305473191062
3,0.49426035705574,True,0.174032824723138,0.952030609687165,0.038392698494501,0.000711349715195,0.891624008656594,0.902129590765054,0.015771661065849,5.15506813480169E-05,1,1,3.21298155425277E-20,3.16567224623621,0.174054069336761,0.952023770089458,4.16567223967675,3.83963705309122,3.16567969174164,3.16567768215706,4.16567223967675,3.83963705309122,3.16567969174164,3.16567768215706,4.16567223967675,3.83963705309122,3.16567969174164,3.16567768215706,4.16567223967675,3.83963705309122,3.16567969174164,3.16567768215706,4.16567223967675,3.83963705309122,3.16567969174164,3.16567768215706,4.16567223967675,3.83963705309122,3.16567969174164,3.16567768215706,4.16567223967675,3.83963705309122,3.16567969174164,3.16567768215706,4.16567223967675,3.83963705309122,3.16567969174164,3.16567768215706,4.16567223967675,3.83963705309122,3.16567969174164,3.16567768215706
4,0.494261406073067,True,0.24771615479828,1.31248175245743,0.077745255034066,0.000671830300555,0.608097712483855,0.409757168787354,0.953111806509188,0.005659701614349,1,1,2.16260459564117E-19,3.16568462701,0.247710572818991,1.31239951941129,4.16568458336743,3.83958662286567,3.16570005434159,3.16569540609197,4.16568458336743,3.83958662286567,3.16570005434159,3.16569540609197,4.16568458336743,3.83958662286567,3.16570005434159,3.16569540609197,4.16568458336743,3.83958662286567,3.16570005434159,3.16569540609197,4.16568458336743,3.83958662286567,3.16570005434159,3.16569540609197,4.16568458336743,3.83958662286567,3.16570005434159,3.16569540609197,4.16568458336743,3.83958662286567,3.16570005434159,3.16569540609197,4.16568458336743,3.83958662286567,3.16570005434159,3.16569540609197,4.16568458336743,3.83958662286567,3.16570005434159,3.16569540609197
5,0.578831145926176,True,-0.350659494341497,1.23492817202707,0.106836110447912,0.006391364455547,0.882111240587528,0.902162640429571,0.586613770691408,0.178395828507324,1,1,0.396361231162438,2.63819240886674,0.098066377919445,0.233005521672199,4.19154393981262,3.86777724929122,3.30999629879066,2.98124297157142,3.63819240886674,3.27158923249521,2.77180293226049,2.4171934925966,3.97076446185479,3.63819240886674,3.10144249308858,2.77794761087564,4.31931503299001,3.94977936445852,3.63819240886674,3.27773391111036,4.6515914654554,4.31317035437486,3.96461978323964,3.63819240886674,3.63819240886674,3.27158923249521,2.77180293226049,2.4171934925966,3.97076446185479,3.63819240886674,3.10144249308858,2.77794761087564,4.31931503299001,3.94977936445852,3.63819240886674,3.27773391111036,4.6515914654554,4.31317035437486,3.96461978323964,3.63819240886674
6,0.552076012958096,True,2.91509491742261,0.410715967150619,0.296078738091197,-0.160430416857491,-0.00988887968724,1.42193702816976,0.28070639815976,0.033000401330301,1,1,0.613371166573772,2.64449169039406,0.194048587622723,0.288830788492314,4.6220177000219,3.78967969771681,3.31000039879432,2.38239806539206,3.64449169039406,3.388187759489,2.80685565928712,2.42956539211333,3.83445150986709,3.64449169039406,3.05016908232527,2.73798656672883,4.33562490868881,4.13267458134887,3.64449169039406,3.31931866693071,4.54233657700969,4.4044940012471,3.90332060242538,3.64449169039406,3.64449169039406,3.388187759489,2.80685565928712,2.42956539211333,3.83445150986709,3.64449169039406,3.05016908232527,2.73798656672883,4.33562490868881,4.13267458134887,3.64449169039406,3.31931866693071,4.54233657700969,4.4044940012471,3.90332060242538,3.64449169039406
7,0.494259319087763,True,0.153734287257196,0.895606063800104,0.02731675133026,0.000525890365924,0.97853348072425,0.542237785420289,0.251121720179332,0.004543696982166,1,1,0,3.17198687056397,0.153735051408207,0.895607248220949,4.17198687052823,3.82070533771235,3.17198728885075,3.17198716957535,4.17198687052823,3.82070533771235,3.17198728885075,3.17198716957535,4.17198687052823,3.82070533771235,3.17198728885075,3.17198716957535,4.17198687052823,3.82070533771235,3.17198728885075,3.17198716957535,4.17198687052823,3.82070533771235,3.17198728885075,3.17198716957535,4.17198687052823,3.82070533771235,3.17198728885075,3.17198716957535,4.17198687052823,3.82070533771235,3.17198728885075,3.17198716957535,4.17198687052823,3.82070533771235,3.17198728885075,3.17198716957535,4.17198687052823,3.82070533771235,3.17198728885075,3.17198716957535
8,0.494259329731704,True,0.294049306485704,1.78041014525721,0.108677230572205,0.002483640190793,0.232611651452201,0.01430401014283,0.185303397904495,0.013815682483541,1,1,6.63195686834871E-16,3.1662533817424,0.294062014996879,1.78041276995811,4.16625338097426,3.83790571679832,3.16625384201155,3.16625372688251,4.16625338097426,3.83790571679832,3.16625384201155,3.16625372688251,4.16625338097426,3.83790571679844,3.16625384201155,3.16625372688251,4.16625338097426,3.83790571679831,3.16625384201155,3.16625372688251,4.16625338097426,3.83790571679842,3.16625384201155,3.16625372688251,4.16625338097426,3.83790571679832,3.16625384201155,3.16625372688251,4.16625338097426,3.83790571679835,3.16625384201155,3.16625372688251,4.16625338097426,3.83790571679832,3.16625384201155,3.16625372688251,4.16625338097426,3.83790571679835,3.16625384201154,3.16625372688251
9,0.494263606624827,True,0.171302769050044,0.788941060846935,0.030384233542774,0.000119014698938,0.143480886961123,0.223089906869247,0.175149096423598,0.007611050561096,1,1,1.80562972436645E-19,3.17990431307545,0.171127926453248,0.788911126355713,4.17990379594081,3.79689627023526,3.17993992768492,3.17992667280567,4.17990379594081,3.79689627023526,3.17993992768492,3.17992667280567,4.17990379594081,3.79689627023526,3.17993992768492,3.17992667280567,4.17990379594081,3.79689627023526,3.17993992768492,3.17992667280567,4.17990379594081,3.79689627023526,3.17993992768492,3.17992667280567,4.17990379594081,3.79689627023526,3.17993992768492,3.17992667280567,4.17990379594081,3.79689627023526,3.17993992768492,3.17992667280567,4.17990379594081,3.79689627023526,3.17993992768492,3.17992667280567,4.17990379594081,3.79689627023526,3.17993992768492,3.17992667280567
