seed,rmse,success,mu_state_1,mu_state_2,var_state,rho_state,mu_true_1,mu_true_2,var_true,rho_true,w_r,w_V,alpha,bias,complex_add,symmetry_add,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,pred9,pred10,pred11,pred12,pred13,pred14,pred15,pred16,pred17,pred18,pred19,pred20,pred21,pred22,pred23,pred24,pred25,pred26,pred27,pred28,pred29,pred30,pred31,pred32,pred33,pred34,pred35,pred36
0,0.234074074074074,True,0.675418968524245,0.759698330051369,0.795820858834588,-0.214701831501705,0.423654799338905,0.645894113066656,0.19148256746066,0.032697368631522,4.48428207785703,0,3.84784806966036E-19,0.493895420686277,0.478812013908502,0.896342763873083,4.84990584473121,3.85595750661255,3.29133723951937,2.33946607580353,4.84990584473121,3.85595750661255,3.29133723951937,2.33946607580353,4.84990584473121,3.85595750661255,3.29133723951937,2.33946607580353,4.84990584473121,3.85595750661255,3.29133723951937,2.33946607580353,4.84990584473121,3.85595750661255,3.29133723951937,2.33946607580353,4.84990584473121,3.85595750661255,3.29133723951937,2.33946607580353,4.84990584473121,3.85595750661255,3.29133723951937,2.33946607580353,4.84990584473121,3.85595750661255,3.29133723951937,2.33946607580353,4.84990584473121,3.85595750661255,3.29133723951937,2.33946607580353
1,0.79337962962963,True,0.417022004702574,0.720324493442158,1.30815988426762E-08,5.17376375060348E-17,0.146755890817113,0.092338594768798,0.034692866342455,0.000415915154646,0,0,0.000419194514403,3.58416666666667,0.39676747423067,0.538816734003357,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667
2,0.79337962962963,True,0.431647436306261,0.014229821728784,0.303662806463323,0.040216541682971,0.420367802087489,0.330334821003874,0.041881063413555,0.00108621581091,0,0,0.037255223366759,3.58416666666667,0.295829685612341,0.279145653809362,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667,3.58416666666667
3,0.234074074074074,True,-0.143301254895339,0.439263213410823,0.175951113153041,-0.153177653440375,0.892946954347655,0.896293088933438,0.015771670204298,5.15507501374647E-05,7.35821205657183,0,2.01448532126159E-20,0.156690068141398,0.078926865595463,0.083107978620977,4.8437959256507,3.85904869261455,3.30337902242461,2.33044302597681,4.8437959256507,3.85904869261455,3.30337902242461,2.33044302597681,4.8437959256507,3.85904869261455,3.30337902242461,2.33044302597681,4.8437959256507,3.85904869261455,3.30337902242461,2.33044302597681,4.8437959256507,3.85904869261455,3.30337902242461,2.33044302597681,4.8437959256507,3.85904869261455,3.30337902242461,2.33044302597681,4.8437959256507,3.85904869261455,3.30337902242461,2.33044302597681,4.8437959256507,3.85904869261455,3.30337902242461,2.33044302597681,4.8437959256507,3.85904869261455,3.30337902242461,2.33044302597681
4,0.240364398143269,True,0.900223388995289,-0.84117630338119,1.12582436239159,0.414893650379864,0.697728824597271,0.216089495580376,0.953111811048648,0.005659701668261,7.00459780449168,0,2.50489416916577E-23,0,0.27366019816284,-0.470304219876929,4.88470143261526,3.79217955901767,3.25940359847163,2.41000001160634,4.88470143261526,3.79217955901767,3.25940359847163,2.41000001160634,4.88470143261526,3.79217955901767,3.25940359847163,2.41000001160634,4.88470143261526,3.79217955901767,3.25940359847163,2.41000001160634,4.88470143261526,3.79217955901767,3.25940359847163,2.41000001160634,4.88470143261526,3.79217955901767,3.25940359847163,2.41000001160634,4.88470143261526,3.79217955901767,3.25940359847163,2.41000001160634,4.88470143261526,3.79217955901767,3.25940359847163,2.41000001160634,4.88470143261526,3.79217955901767,3.25940359847163,2.41000001160634
5,0.248031684127837,True,0.330774588779251,0.841667477827536,0.114795829055832,-0.027884983640523,0.488411188794829,0.611743862902646,0.586614844618272,0.178396430252748,200.631758247449,0,1.1426579025114E-06,0,0.060238651741104,0.051564031858271,4.91619398162261,3.7353766190209,3.22749624295898,2.43521709942181,4.92954163649147,3.74587145526363,3.23674238604742,2.44242378021688,4.93000623670838,3.74627050328713,3.23705570892514,2.44269020928899,4.93027763489366,3.7464402940177,3.23725477345045,2.44281666203442,4.9307422998741,3.74683939914188,3.2375681429059,2.44308313168293,4.91952841781156,3.73799827526203,3.22980591654615,2.43701724704143,4.91964437759921,3.73809786299279,3.22988410951524,2.43708373003983,4.91971211044508,3.73814023685338,3.22993378288497,2.43711528330619,4.91982807427548,3.73823982814811,3.23001197876117,2.43718176883682
6,0.234074074074074,True,0.554680838369981,0.912120844435474,1.33446600490706,-0.730601192109526,0.107656679935968,0.59505206420624,0.280706437280959,0.033000393667612,5.01500335811227,0,1.36433752712622E-21,0.307312645740585,0.438017514537528,0.556762206079532,4.84898549631194,3.84955974354358,3.30444484985341,2.33367657695775,4.84898549631194,3.84955974354358,3.30444484985341,2.33367657695775,4.84898549631194,3.84955974354358,3.30444484985341,2.33367657695775,4.84898549631194,3.84955974354358,3.30444484985341,2.33367657695775,4.84898549631194,3.84955974354358,3.30444484985341,2.33367657695775,4.84898549631194,3.84955974354358,3.30444484985341,2.33367657695775,4.84898549631194,3.84955974354358,3.30444484985341,2.33367657695775,4.84898549631194,3.84955974354358,3.30444484985341,2.33367657695775,4.84898549631194,3.84955974354358,3.30444484985341,2.33367657695775
7,0.246394120166707,True,0.682834510821879,1.16972558460427,0.472482882116863,-0.166839929402671,0.977989511996603,0.538495870410434,0.251121719098751,0.004543697059781,43.9975679330618,0,4.88894160476059E-06,1.45606230876894E-05,0.112318492796734,0.133990570283368,4.89976196552783,3.74218331748192,3.21123142951544,2.42126014090327,4.93347555087723,3.76942994683271,3.23535338132451,2.44041782208148,4.93543364304819,3.77110584675061,3.23670250265731,2.44155187933902,4.93656268848514,3.77186444115239,3.23759760960503,2.44215968921517,4.93852185086944,3.77354130496667,3.23894756506593,2.44329447919904,4.90817857641006,3.74898421650362,3.21725177282474,2.42604066116339,4.90866640903714,3.74940155713562,3.21758770792698,2.4263229212088,4.90894762448919,3.74959047362412,3.21781049625639,2.4264741705732,4.9094355239073,3.75000787437737,3.21814648337588,2.42675647628781
8,0.244711903604422,True,0.721737649036601,1.0146587016916,0.62359941707136,-0.17260018803945,0.232728327977291,0.01139880427743,0.185303403522133,0.013815680018524,13.2015181501588,0,6.48578969730594E-06,6.09203183839687E-06,0.183393405697918,0.229468957570676,4.90462988117478,3.74457615058198,3.22903938495305,2.41593429719459,4.92478764435078,3.76184275603793,3.24481405511726,2.42894842376024,4.92723990016357,3.76417173426302,3.24656593327067,2.43055412872401,4.92858139245591,3.76489853237473,3.24792936829535,2.43138239638616,4.93103510857921,3.76722907488889,3.24968264585093,2.43298949883078,4.90966941262811,3.7488917074708,3.23298149587792,2.41918573799609,4.91028202479701,3.74947308043329,3.23341882330452,2.41958628944148,4.91061705622361,3.74965464611111,3.23375889878438,2.41979284511718,4.91122975990527,3.75023611697722,3.23419631376766,2.42019348391047
9,0.25215372559878,True,0.433968679136819,0.477279536862188,0.246110021700056,0.00324218720765,0.142111085454539,0.218558675626078,0.175149097154169,0.007611050710299,5.6406332365105,0,3.82613156587677E-17,9.11687423628867E-07,0.214674909154004,0.34089520860081,4.93367979744217,3.71616376857642,3.23817700933667,2.4486460913114,4.93367979744217,3.71616376857642,3.23817700933667,2.4486460913114,4.93367979744217,3.71616376857642,3.23817700933667,2.4486460913114,4.93367979744217,3.71616376857642,3.23817700933667,2.4486460913114,4.93367979744217,3.71616376857642,3.23817700933667,2.4486460913114,4.93367979744217,3.71616376857642,3.23817700933667,2.4486460913114,4.93367979744217,3.71616376857642,3.23817700933667,2.4486460913114,4.93367979744217,3.71616376857642,3.23817700933667,2.4486460913114,4.93367979744217,3.71616376857642,3.23817700933667,2.4486460913114
